letter	name	hint	example
A	/a/	印尼语元音通常直接读 /a/	api
B	/be/	与汉语 b 接近	baik
C	/ce/	在印尼语里常读 /tʃ/	cari
D	/de/	与汉语 d 接近	dalam
E	/e/	根据词形可能接近闭口或央元音	empat
F	/ef/	常见于外来词	foto
G	/ge/	词首通常为硬 g	gambar
H	/ha/	有气流的 h	hari
I	/i/	清晰 i	ini
J	/je/	常读 /dʒ/	jalan
K	/ka/	清晰 k	kaki
L	/el/	舌尖 l	lokasi
M	/em/	双唇 m	material
N	/en/	舌尖 n	nomor
O	/o/	圆唇 o	orang
P	/pe/	双唇 p	proyek
Q	/ki/	主要见于外来词	quality
R	/er/	练习舌尖颤音	rapat
S	/es/	清晰 s	sama
T	/te/	舌尖 t	tanah
U	/u/	圆唇 u	ukuran
V	/fe/	主要见于外来词	volume
W	/we/	半元音 w	waktu
X	/eks/	主要见于外来词	extra
Y	/ye/	半元音 y	yakin
Z	/zet/	主要见于外来词	zona
