id	indonesian	chinese	category	scene	example	example_chinese
W0007	pekerjaan 施工	施工作业	施工	施工		
W0018	kualitas 施工	施工质量	施工	施工		
W0029	perbaikan 项目	修复项目	项目管理	项目管理		
W0040	jadwal 项目	项目计划	项目管理	项目管理		
W0051	pengukuran 现场	测量施工现场	现场管理	现场管理		
W0062	hasil 现场	施工现场结果	现场管理	现场管理		
W0073	工地	工地	现场管理	现场管理		
W0084	gambar 工地	工地图纸	现场管理	现场管理		
W0095	工地 utama	主要工地	现场管理	现场管理		
W0106	posisi 工程	工程位置	项目管理	项目管理		
W0117	pemeriksaan akhir 工程	工程最终检查	项目管理	项目管理		
W0128	kondisi 基础	基础状态	结构	结构		
W0139	spesifikasi 基础	基础规格	结构	结构		
W0150	pemeliharaan 地基	维护地基	土建	土建		
W0161	biaya 地基	地基费用	土建	土建		
W0172	pemasangan 土方	安装土方	土建	土建		
W0183	catatan 土方	土方记录	土建	土建		
W0194	pemeriksaan 基坑	检查基坑	土建	土建		
W0205	data 基坑	基坑数据	土建	土建		
W0216	基坑 sementara	临时基坑	土建	土建		
W0227	ukuran 边坡	边坡尺寸	土建	土建		
W0238	risiko 边坡	边坡风险	土建	土建		
W0249	lokasi 挡土墙	挡土墙位置	土建	土建		
W0260	persiapan 挡土墙	挡土墙准备	土建	土建		
W0271	pekerjaan 围墙	围墙作业	土建	土建		
W0282	kualitas 围墙	围墙质量	土建	土建		
W0293	perbaikan 排水沟	修复排水沟	水利	水利		
W0304	jadwal 排水沟	排水沟计划	水利	水利		
W0315	pengukuran 集水井	测量集水井	水利	水利		
W0326	hasil 集水井	集水井结果	水利	水利		
W0337	沉淀池	沉淀池	水利	水利		
W0348	gambar 沉淀池	沉淀池图纸	水利	水利		
W0359	沉淀池 utama	主要沉淀池	水利	水利		
W0370	posisi 混凝土	混凝土位置	材料	材料		
W0381	pemeriksaan akhir 混凝土	混凝土最终检查	材料	材料		
W0392	kondisi 水泥	水泥状态	材料	材料		
W0403	spesifikasi 水泥	水泥规格	材料	材料		
W0414	pemeliharaan 砂	维护砂	材料	材料		
W0425	biaya 砂	砂费用	材料	材料		
W0436	pemasangan 碎石	安装碎石	材料	材料		
W0447	catatan 碎石	碎石记录	材料	材料		
W0458	pemeriksaan 骨料	检查骨料	材料	材料		
W0469	data 骨料	骨料数据	材料	材料		
W0480	骨料 sementara	临时骨料	材料	材料		
W0491	ukuran 钢筋	钢筋尺寸	钢筋	钢筋		
W0502	risiko 钢筋	钢筋风险	钢筋	钢筋		
W0513	lokasi 钢筋笼	钢筋笼位置	钢筋	钢筋		
W0524	persiapan 钢筋笼	钢筋笼准备	钢筋	钢筋		
W0535	pekerjaan 箍筋	箍筋作业	钢筋	钢筋		
W0546	kualitas 箍筋	箍筋质量	钢筋	钢筋		
W0557	perbaikan 拉筋	修复拉筋	钢筋	钢筋		
W0568	jadwal 拉筋	拉筋计划	钢筋	钢筋		
W0579	pengukuran 锚筋	测量锚筋	钢筋	钢筋		
W0590	hasil 锚筋	锚筋结果	钢筋	钢筋		
W0601	型钢	型钢	钢结构	钢结构		
W0612	gambar 型钢	型钢图纸	钢结构	钢结构		
W0623	型钢 utama	主要型钢	钢结构	钢结构		
W0634	posisi 钢板	钢板位置	钢结构	钢结构		
W0645	pemeriksaan akhir 钢板	钢板最终检查	钢结构	钢结构		
W0656	kondisi 螺栓	螺栓状态	钢结构	钢结构		
W0667	spesifikasi 螺栓	螺栓规格	钢结构	钢结构		
W0678	pemeliharaan 焊缝	维护焊缝	钢结构	钢结构		
W0689	biaya 焊缝	焊缝费用	钢结构	钢结构		
W0700	pemasangan 焊接	安装焊接	钢结构	钢结构		
W0711	catatan 焊接	焊接记录	钢结构	钢结构		
W0722	pemeriksaan 模板	检查模板	模板	模板		
W0733	data 模板	模板数据	模板	模板		
W0744	模板 sementara	临时模板	模板	模板		
W0755	ukuran 木模板	木模板尺寸	模板	模板		
W0766	risiko 木模板	木模板风险	模板	模板		
W0777	lokasi 钢模板	钢模板位置	模板	模板		
W0788	persiapan 钢模板	钢模板准备	模板	模板		
W0799	pekerjaan 支模	支模作业	模板	模板		
W0810	kualitas 支模	支模质量	模板	模板		
W0821	perbaikan 拆模	修复拆模	模板	模板		
W0832	jadwal 拆模	拆模计划	模板	模板		
W0843	pengukuran 脚手架	测量脚手架	脚手架	脚手架		
W0854	hasil 脚手架	脚手架结果	脚手架	脚手架		
W0865	立杆	立杆	脚手架	脚手架		
W0876	gambar 立杆	立杆图纸	脚手架	脚手架		
W0887	立杆 utama	主要立杆	脚手架	脚手架		
W0898	posisi 横杆	横杆位置	脚手架	脚手架		
W0909	pemeriksaan akhir 横杆	横杆最终检查	脚手架	脚手架		
W0920	kondisi 剪刀撑	剪刀撑状态	脚手架	脚手架		
W0931	spesifikasi 剪刀撑	剪刀撑规格	脚手架	脚手架		
W0942	pemeliharaan 脚手板	维护脚手板	脚手架	脚手架		
W0953	biaya 脚手板	脚手板费用	脚手架	脚手架		
W0964	pemasangan 砌体	安装砌体	砌筑	砌筑		
W0975	catatan 砌体	砌体记录	砌筑	砌筑		
W0986	pemeriksaan 砖	检查砖	砌筑	砌筑		
W0997	data 砖	砖数据	砌筑	砌筑		
W1008	砖 sementara	临时砖	砌筑	砌筑		
W1019	ukuran 砌块	砌块尺寸	砌筑	砌筑		
W1030	risiko 砌块	砌块风险	砌筑	砌筑		
W1041	lokasi 砂浆	砂浆位置	砌筑	砌筑		
W1052	persiapan 砂浆	砂浆准备	砌筑	砌筑		
W1063	pekerjaan 抹灰	抹灰作业	装修	装修		
W1074	kualitas 抹灰	抹灰质量	装修	装修		
W1085	perbaikan 地面	修复地面	装修	装修		
W1096	jadwal 地面	地面计划	装修	装修		
W1107	pengukuran 墙面	测量墙面	装修	装修		
